"","baseline-03182015_S2","baseline-03272015_S8","baseline-05202015-Islet-15_S1","baseline-05222015-Islet-16_S6","baseline-09032015_S2","baseline-09102015_S7","baseline-10012015_S12","baseline-10292015_S17","Single-cell-bulk-03182015_S4","Single-cell-bulk-03272015_S10","Single-cell-bulk-05202015_S3","Single-cell-bulk-05222015_S8","Single-cell-bulk-c1-09032015_S5","Single-cell-bulk-c1-09102015_S10","Single-cell-bulk-c1-10012015_S15","Single-cell-bulk-c1-10292015_S20","undissociated-c1-ctrl-09032015_S3","undissociated-c1-ctrl-09102015_S8","undissociated-c1-ctrl-10012015_S13","undissociated-c1-ctrl-10292015_S18","Untreated-Ctrl-03182015_S3","Untreated-Ctrl-03272015_S9","Untreated-Ctrl-05202015_S2","Untreated-Ctrl-05222015_S7"
"ENSG00000222007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000212657",0,2,1,0,0,1,1,1,0,2,0,1,0,0,0,1,0,0,2,11,0,0,0,0
"ENSG00000168243",740.56,1093.26,1734,2275.62,319.92,1310.95,825.92,1401.56,1295.24,1941.92,1395.21,2932.51,1266.15,2385.15,1092.51,1348.24,1088.1,1709.79,1237.41,1407.06,935.91,1082.5,1340.47,2002.66
"ENSG00000186860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242185",4.18,3.77,0,0,0,0,2.53,0.28,10.39,0,1.54,2.79,0,0,3.45,0,0,0.74,1.23,0,6.73,0,0,2.77
"ENSG00000168505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006059",0,0,0,0,0,0,2.01,1,0,1,0,0,1,0,2,0,0,0,0,1,1,0,0,1
"ENSG00000103653",5,10,22,52,1,15,33,40,9,23,17,45,22,19,19,51,18,14,29,33,10,15,23,33
"ENSG00000131738",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000110429",541.01,746,360,932,90,422,425,491,1009,1465,213,1411,286,838,1318,776,245,906,692,601,747,855,461,789
"ENSG00000111834",4,8,5,12,0,6,2,3,19,29,4,18,5,13,16,23,2,6,7,10,11,15,7,16
"ENSG00000197969",142.1,158.31,18.05,138.73,15.76,91.76,49.14,64.93,294.96,420.08,15.37,250.19,58.76,257.09,286.61,151.88,18.64,122.19,53.56,59.54,142,186.54,33.87,84.3
"ENSG00000135298",6,10,1,13,1,0,4,10,24,17,2,17,11,18,11,18,8,9,6,9,5,23,1,9
"ENSG00000232417",14.29,4.22,0,4.89,0.53,2.57,2.45,4.96,32.66,96.01,7.82,16.61,3.07,3.08,10.47,0,3.61,5.97,4.11,2.48,15.2,8,1.55,5.84
"ENSG00000261833",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
"ENSG00000215029",2,3.31,0,2.82,0.5,3.6,0.89,4.79,7.17,7.11,0,7.73,0,28.68,0,8.15,4,2.45,5,5.92,5.8,1.5,0.5,2.02
"ENSG00000166164",548.71,550,219.16,746.64,107.54,352.02,364.13,546.64,927.98,1170.87,151.62,1195.63,334.7,1007.98,876.27,858.73,263.26,635.77,524.03,651.42,642.9,593.81,284.38,678.27
"ENSG00000175920",0,0,1,4,3,0,1,1,0,1,1,2,1,1,0,0,2,1,0,0,0,0,0,3
"ENSG00000158417",1154,1904,637,1237,152,496,586,568,2021,2678,440,1710,403,1444,1752,1113,411,833,833,688,1460,1868,1005,957
"ENSG00000185736",0,1,1,4,0,0,5,2,1,2,1,8,2,8,4,1,1,1,2,1,0,1,0,10
"ENSG00000146066",663.08,971.85,540.63,3225.95,660.81,1656.95,2973.84,3435.77,1334.41,1856.91,490.55,5146.36,2488.66,2831.01,2873.35,2960.43,2809.72,2538.04,4186.68,3491.94,1056.12,1197.49,725.07,3804.46
"ENSG00000103111",195.94,257.15,273.69,669.51,51.63,221.68,280.28,289.08,245.51,456.38,239.31,665.87,245.94,444.39,387.56,348.7,205.66,297.17,337.71,282.81,243.18,294.36,271.99,547.94
"ENSG00000134278",40.19,55.8,39.13,124.44,35.05,58.61,73.63,73.22,106.88,128.89,32.5,142.14,91.95,124.88,104.53,97.9,54.31,100.9,89.31,63.52,62.26,71.91,44.16,102.04
"ENSG00000253320",22.83,24,22,30.42,7,13,21.18,46.12,40.02,44.99,16,55.46,19.96,35,81,48.06,23.62,25,42.58,47,28,22,33,23.98
"ENSG00000182177",39.62,17.24,1.69,8.99,4.34,0,12,8.21,58.41,59.53,8.58,16.88,10.77,17.24,6.33,18.49,5.68,4.64,13.79,9.17,24.03,31.5,9.78,12.91
"ENSG00000115661",173.18,255.05,300,906.07,118.02,337.28,563.19,656.85,276.11,340.2,230,1055.18,501.08,438.1,377.19,500.06,533.02,485.05,749.07,650.6,225.04,316.37,321.02,890.59
"ENSG00000008988",12264.2,13833.94,7572.77,11628.53,1584.64,4800.73,6728.15,7346.62,11949.32,11771.69,7517.56,16830.46,4164.69,11151.43,12403.9,10080.98,4109.72,9626.91,8101.17,7867.95,15200.81,13917.71,16782.14,11457.12
"ENSG00000129951",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000131737",0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"ENSG00000163956",1687.33,2682.67,1237.98,13610.4,1179.17,2406.93,5587.49,5291.28,3236.83,6319.45,1387.46,15211.51,5519.17,4671.97,4735.96,5934.97,5214.6,2912.57,5615.99,4878.59,2763.09,3302.07,1108.14,15423.82
"ENSG00000204393",0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,5
"ENSG00000051825",174.2,181.34,77.02,234.66,45.83,112.67,105.86,152.79,334.57,491.16,159.58,475.85,108.18,294.44,298.88,285.05,93.83,200.25,128.4,147.7,229.74,205.11,121.29,215.64
"ENSG00000042088",39,65,99,139.08,21,76,116,122,86,129.98,63.09,175,60,170,115,140,84,168,149.84,132,61,88.21,104.15,110
"ENSG00000094796",0,0,1,0,0,0,0.99,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000175416",56,49,165,438,39,112,415,168,36,89,145,432,209,288,202,181,197,138,355,172,46,65,159,397
"ENSG00000120051",0,4,1,4,0,2,1,10,8,16,2,2,3,1,3,2,1,1,2,3,3,5,2,1
"ENSG00000205078",3,2.08,0,7.72,1,0,1.39,2.26,3.11,5,1,11.9,1,3.36,1.11,4.27,1,0,2.5,6.62,1,1.03,0,11.42
"ENSG00000006740",182.01,132.52,75.88,431.7,54.94,114.61,189.87,242.56,244.04,275.64,101.12,525.48,158.69,274.28,180.85,263.32,195.73,169.12,182.25,151.05,175.45,139.76,71.15,275.37
"ENSG00000164171",233.72,323.84,1381.86,569.89,42.67,143.54,811.18,158.28,254,618.09,864.12,539.75,97.64,268.14,1076.56,165.61,165.36,320.68,933.3,126.26,218.13,449.67,2066,407.83
"ENSG00000162510",0,2,0,2.24,0,5,0,1,0,2.21,0.96,3.05,3.33,4.13,0,2,0,4,1,0,0,0,1,2
"ENSG00000172232",235.17,162.7,49.89,72.28,23.38,19.41,59.73,65.32,209.5,296.82,155.77,119.43,79.64,90.01,60.6,50.51,62.97,33.67,77.37,51.67,218.8,214.49,103.12,73.93
"ENSG00000149600",37,42,55,145,16,48,116,82,75,105,35,153,47,121,126,85,68,98,115,67,74,57,63,119
"ENSG00000120727",1303.61,2721.7,1028.91,2666.17,296.54,1160.75,1535.44,1094.69,3108.29,4751.22,786.34,4154.92,899.2,2803.18,2896.6,2118.96,728.53,1837.48,1924.2,1465.88,2380.27,2899.43,1137.25,3151.7
"ENSG00000158164",9.05,5.94,0,11,1,6.1,1,5,27.12,22.09,0,17.82,4,11,16.39,3.98,2,6.98,5,1.01,7.25,7.22,1,10
"ENSG00000100412",507.02,982.89,2736.75,6810.46,969.87,2818.51,5603.99,4973.02,1239.49,2000.99,1635.07,6868.64,3412.66,2891.17,3050.02,3522.14,4238.43,4163.86,6631.34,4425.52,935.21,1441.24,1845.51,6961.14
"ENSG00000108417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000183049",727.03,457.94,181.83,419.38,86.16,149.42,458.95,264.73,657.54,871.83,433.29,508.2,262.95,364.93,300.91,242.3,308.92,153.04,392.38,194.95,557.05,518.41,283.26,375.25
"ENSG00000164690",11,9,2,51,9,18,96,43,16,28,2,55,34,5,109,8,35,25,72,30,10,24,6,23
"ENSG00000163312",61,95,35,199,19,109,84,122,190,281,36,304,77,197,254,200,61,174,127,119,121,128,51,150
"ENSG00000143669",178.39,245.09,62.02,208.03,49.01,121,116,215,387.99,471.79,49,331.6,142,328.03,276.08,345,97,238.02,181.14,217.01,187.53,274.23,86.08,178.33
"ENSG00000232258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169291",259.27,187.67,54.25,73.48,17.98,40.15,64.06,76.8,344.2,389.68,124.55,100.67,61.92,100.15,66.67,79.08,42.51,28.7,76.85,62.79,217.9,219.3,79.21,71.91
"ENSG00000196646",95.26,122.69,41.42,119.58,34.71,71.53,69.25,56.29,203.83,390,49.22,183.97,55.86,185.96,163.4,137.5,33.51,127.43,83.08,63.33,143.05,163.19,51.4,108.74
"ENSG00000258890",61.75,118.45,63.04,183.03,24.48,89.25,115.47,81.31,176.22,288.42,58.18,279.35,82.71,246.68,285.55,205.8,71.31,147.27,149.25,99.56,89.15,131.5,105.26,135.43
"ENSG00000171360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000204876",0,1,0,5,0,2,2,2,2,3,3,0,0,0,3,0,0,1,5,1,2,0,1,1
"ENSG00000168830",3,2,0,1,0,0,0,0,6.98,2.04,0,1,0,2.05,0,0.35,0,0,0,1,5.82,2,0,1
"ENSG00000162511",63,44,17,234,23,100,71,148,284,116,26,409,134,198,85,277,98,132,158,287,93,50,28,308
"ENSG00000244291",13.27,23,11.19,44.92,4.11,14.26,17.73,29.14,21.92,24.43,18,60.9,18.29,31.87,20.4,35.86,23.35,12.31,29.62,27.45,9.18,28,11.67,25.26
"ENSG00000196415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000148408",10,8,10,40,7,19,11,39,15,25,8,41,42,68.63,17,47,19,10,12,39,19,7.99,6,36
"ENSG00000135346",10,5,5,84,2,77,10,29,40,11,7,185,5,112,74,32,7,79,29,47,24,4,3,55
"ENSG00000140873",8,3,4,9,5,4.28,2,9,30,52,6,4,5.3,5,9,10,4,3,1,4,4,12,1,2
"ENSG00000125962",210,295,148,476,79,256,300.24,462.63,537.37,609,108.12,822,259,545.93,530.06,545,256.68,586.85,462.9,523.12,350.06,347,179,504
"ENSG00000162512",15,15,9,39,8,7,19,15,1,11,7,40,3,16,14,12,19,7,18,13,6,21,13,31
"ENSG00000170482",1,2,0,3,6,1,29,7,2,9,0,18,3,0,12,1,12,2,29,5,6,8,1,10
"ENSG00000197857",121.53,154.02,77.89,219.06,40.03,135.38,110.78,168.77,307.02,372.46,58.7,423.36,111.61,305.58,313.82,261.81,70.49,210.46,151.19,167.74,169.37,171.93,74.72,202.34
"ENSG00000132321",12,13,7,67,3,20,57,35,18,57,7,88,4,27,67,26,8,46,66,27,17,41,11,71
"ENSG00000127824",2501.43,5548.39,20882.67,32481.29,2536.78,8663.82,12748.5,11344.45,4016.77,5666.66,16307.43,25682.47,10438.82,8206.9,6033.33,7088.96,10663.57,10898.56,14526.52,9978.81,4146.86,5415.34,19865.21,25477.95
"ENSG00000104765",1350.16,3157.11,1354,2634.95,358.67,2217.39,2746.1,2358.92,2907.65,4420.54,886.9,3585.24,1059.66,3359.87,3108.05,2440.09,1293.23,3050.71,3159.12,2434.81,2233.61,3563.1,1344.45,2672.22
"ENSG00000170516",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000231852",0,0.81,1,0,0,0,3,2,0,2.09,0,0,0,0,0,4,1.62,0,1,2,0,0,1.13,0
"ENSG00000228836",14.29,4.22,1,4.89,1.53,2.57,2.45,4.96,32.66,0,0,16.61,3.07,4.08,11.47,15.61,3.61,5.97,4.11,2.48,15.2,8,1.55,5.84
"ENSG00000067365",26,76,166,409,54,185,355,339,110,180,201,578,218,250,269,245,304,250,341,248,62,105,148,389
"ENSG00000092036",34.94,53,35.74,128.95,18.62,31.38,99.29,71.11,85.98,131,42.76,174.77,65.25,154.76,150.65,124.68,90.16,125.17,73.3,107.89,61.84,82.07,59.26,114.08
"ENSG00000105982",26,65.94,11,40.74,11,21,20,51.56,67,123,16,91.86,29,37,64.82,55,23,34,41,52.83,44,61.96,18.21,54.83
"ENSG00000172680",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000188868",29.37,59.02,35.61,105.43,4.01,54.46,58.89,51.2,91.34,129.2,27.27,142.98,51.77,67.98,116,120.67,32.91,96.46,103.08,63.08,64,59.93,30.71,140.03
"ENSG00000072422",46,37,39,86,11,42,52,57,65,81,39,97,37,73,84,59,58,54,78,46,45,34,44,65
"ENSG00000111144",273.46,468.04,305,1052,150,435,715,731.08,834.01,1072.98,154,1418.84,430,809,1017,951,456,998.55,924.02,770,541,563,350.05,986.05
"ENSG00000229306",2.64,1,0,0,0,1.55,3.03,1,2,5.19,1,0,1,1,0,0,2,0,0,0,0,4.01,0,1
"ENSG00000181690",32,43,6,25,4,16,10,21,90,136,9,56,11,54,48,43,11,41,17,24,43,56,9,29
"ENSG00000163239",0,0,0,2,0,1,0,0,1,3,0,0,0,2,0,0,0,0,1,0,1,3,3,0
"ENSG00000198342",5.25,11.48,8.37,23.6,4.99,17,7.56,10,21.64,31.41,6,37.42,19.63,35,16,23.45,8,33.96,17.51,13,21.61,10.98,9.45,13.9
"ENSG00000100413",58.99,103.11,100.25,295.54,40.14,145.49,264.01,270.98,106.68,157.01,93.94,393.36,126.34,258.82,120.99,251.86,129.57,171.14,302.66,221.48,67.79,119.76,138.49,302.86
"ENSG00000169379",67,142,41,101,13,52,51,49,173,259,23,182,47,131,157,97,45,102,89,66,102,135,43,108
"ENSG00000153487",12,20,18,73,4,15,36,20,28.77,48.16,24,93.16,19,26.43,40.12,30.18,7,16.19,22,10,18,18,23,67.89
"ENSG00000155097",355.63,592.01,149,436.73,50,290.98,169.28,247.06,922.59,1274.42,111.22,842.31,202.17,885.01,825.39,655.87,83,680.05,319.42,326.76,648,780.8,244.01,371.69
"ENSG00000109158",2,0,0,0,0,0,0,1,15,15,0,3,1,2,1,0,0,1,0,2,1,2,0,0
"ENSG00000188994",338.43,419.82,89.89,334.73,48.11,180.07,124.17,95.99,664.17,933.92,75.33,408.11,95,796.26,671.55,402.04,72.02,320.12,186.74,111.01,362.45,365.72,116.02,182.01
"ENSG00000155659",38,16,1,90,28,86,34,44,204,37,0,226,124,80,146,93,113,164,194,134,78,26,2,106
"ENSG00000153975",73,130,36,118,11,68,49,58,283,409,35,249,60,143,207,172,38,121,91,81,176,197,48,116
"ENSG00000140807",1,4,5,7,0,2,7,6,5,1,0,7,0,0,10,12,1,6,8,2,3,0,2,4
"ENSG00000070495",213.33,280.59,317.35,798.05,109.92,315.12,492.29,451.27,469.05,680.6,344.46,1168.17,391.07,585.02,621.9,552.27,410.29,430.9,601.45,424.95,275.69,325.32,407.81,791.95
"ENSG00000075142",817.87,1403.35,748.08,1762.03,256.92,782.9,1382.29,1035.72,1879.19,2975.56,736.42,2840.58,840.92,1926.3,2906.37,1582.59,892.8,1637.81,1735.18,1160.56,1487.46,1868.71,1670.8,1797.08
"ENSG00000123358",91.11,103.04,133.22,172.9,30.72,54.04,118.75,82.9,284.78,298.74,166.42,181.25,146.41,404.68,411.29,335.88,102.13,49.42,110.88,127.45,221.55,148.62,126.69,138.08
"ENSG00000126254",41,48,76,230,27,61,176,114,42,65,60,153,76,99,61,81,67,45,175,119,29,40,63,141
"ENSG00000197561",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"ENSG00000068489",271.62,161.4,43.63,154.31,27.14,60.49,144.78,125.66,292.18,370.47,156.38,215.74,79.74,150.91,107.9,141.41,126.68,69.98,143.77,100.73,192.29,189.37,121.3,116.09
"ENSG00000255874",0,2,0,9,1,3,2,2,1,4,2,2,1,1,2,2,3,0,6,1,1,0,1,1
"ENSG00000168216",1066,1620,255,1021,87,517,273,349,2640,3222,165,1806,305,1605,2054,1215,178,1089,478,549,1941,1902,417,764
"ENSG00000228159",0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236939",3,1,0,7,0,0,4,2,2,3,0,15,2,2,2,1,7,3,3,1,2,1,2,5
"ENSG00000116962",37,75,30,49,5,79,56,57,89,139,15,37,29,78,62,88,23,56,51,60,51,123,36,36
"ENSG00000268744",84.38,63.07,20.49,71.89,19.29,23.23,50.04,44.43,100.61,141.52,50.04,98.55,36.41,57.69,42.26,68.61,34,27.88,48.49,28.53,60.5,66.55,39.68,51.37
"ENSG00000224922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"ENSG00000197766",6,7,1,7,1,5,16,7,3,0,8,7,1,7,9,3,2,2,5,3,2,4,6,7
"ENSG00000164929",5,18,5,31,2,7,9,3,6,16,3,27,8.68,14,9,7,6,7,15,2,4,22,2,19
"ENSG00000088448",254.78,571.18,382,1075,175,434.9,638.77,566.3,694.88,1437.06,415.01,1415.01,358,699.01,933.49,750.3,386.23,458.21,768.18,513,365.17,608,347.77,795
"ENSG00000105053",685.54,721.81,751.37,1817.79,318.13,839.33,1474.25,1494.65,1157.88,1480.09,888.51,2469.06,1025.62,1292.53,1129.46,1358.85,1292.14,1398.99,1924.44,1481.69,785.89,891.15,936.66,1765.84
"ENSG00000257327",0,1,0,0,2,0,0,1.46,0.55,9.65,0,3,0,1,0,7.08,0,2.85,2,9.81,3.17,0.88,0,0
"ENSG00000136720",92,116,59,801,60,112,189,200,142,254,58,1072,276,274,207,267,175,126,184,189,117,112,51,768
"ENSG00000113194",362,661,560,1284,231,728,934,1079,830,1297,370,1712,654,1253,1148,1327,707,1314,1317,1117,446,791,768,1185
"ENSG00000135446",157.23,336.06,258.05,857.47,114.18,397.83,530.43,623.5,409.88,820.78,203.59,1269.59,487.74,864.9,912.58,855,541.4,749.91,714.57,749.07,294.04,434.25,337.36,783.04
"ENSG00000196466",56.08,52.03,33.5,94.53,11.18,41.93,54.61,57.86,109.17,130.57,57.33,145.95,31.57,69.51,81.05,105.88,44.96,73.33,45.93,41.54,67.7,86.85,34.93,87.31
"ENSG00000088305",0,7,5,12,1,4,5,7,6,10,3,23,2,5,14,15,5,7,15,11,3,3,7,15
"ENSG00000156049",0,0,1,4,1,1,1,1,1,5,1,0,0,1,5,0,0,0,0,0,4,3,0,0
"ENSG00000215527",18,18,2,16,2,5,8,17,41,29,0,48,11,18,20,33,10,14,8,15,24,17,1,35
"ENSG00000142875",215,239,26,166,18,56,67,75,427,472,26,306,72,302,315,203,23,169,85,131,308,249,40,162
"ENSG00000268870",0,0,0.02,0,0.98,0,0,1.29,0,0,0,0,2.82,0,0,0,1.61,0,0,0,0,0,0,0
"ENSG00000170791",376.9,599.55,179.07,464.21,71.05,282.04,221.2,381.11,757.92,948.01,178.76,795.85,212.84,718.91,577.06,639.81,196.3,502.63,342.81,497.2,516.35,594.41,288.17,533.44
"ENSG00000166348",255.19,180.33,148.41,316.63,77.99,169.69,360.67,325.74,309.9,413.55,201.23,451.75,217.62,329.14,267.26,356.61,223.77,219.12,337.97,294.19,219.17,269.69,196.7,278.72
"ENSG00000187546",11.66,19.94,0,9.01,2.95,3.77,5.45,10.51,15.93,25.74,8.61,13.63,5.34,10.31,3.02,3.44,3.22,4.76,8.35,2.73,11.28,13.07,7.44,9.36
"ENSG00000240694",1212.1,1513.72,357.39,1977.66,222.33,1046.89,722.23,1685.4,2019.52,1752.14,309.8,2753.13,859.73,1636.29,1079.26,1806.62,767.5,1707.83,1198.69,1555.23,1775.62,1500.99,302.13,1959.57
"ENSG00000108759",0,0,3,2,0,0,0,0,0,1,1,2,0,0,0,2,0,1,2,0,0,0,2,2
"ENSG00000180855",23.46,29.69,13.98,63.37,9.86,15.87,19.07,15.27,47.98,61.39,11.08,71.61,14.25,33.62,71.95,37.86,8.99,48.32,37.4,14.4,18.42,41.26,16.68,24.72
"ENSG00000242284",1.73,0.56,0,0,0,0,0,1.42,2.14,3.94,2.18,0,0,1.84,5,0,3.19,1.29,1.82,2.17,6.04,0,0,1.5
"ENSG00000095587",10.69,13.38,1,20.06,2,10,7,4,15.57,11.03,5,28.16,10,40,11.01,14,3,15.48,14.21,11.29,5.8,5.3,1,16
"ENSG00000166126",0,0,0,4.32,0,0,0,1,0,2,0,7,0,6,3,2,0,1,1,2,0,0,0,2
"ENSG00000167842",60.14,150.43,63.54,118.11,14.32,49.79,60.69,81.36,220.37,273.37,47.88,195.6,53.28,152.8,215.2,138.96,59.33,145.22,102.6,106.88,132.25,159.64,119.35,109.89
"ENSG00000218839",0,0,0.42,0,0,0,0,0,4.5,0,2.9,0,0,0,1.11,0,0,0,0,0,0,0,0.01,0
"ENSG00000140876",111.51,152.09,26.13,243.58,47,166,131.86,239.18,350.31,327.84,33,530.24,162,328,324,285,183.87,300,236.8,285.86,188.26,152.33,69.58,281.23
"ENSG00000169710",23,22,52,49,3,8,10,18,8,22,64,42,12,16,14,12,11,4,11,9,29.02,32,43,40
"ENSG00000268781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000156052",637,478,35,154,14,71,33,50,712,863,23,238,25,231,315,145,23,96,63,42.88,442,411,69,118
"ENSG00000216560",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000167208",16.72,6.96,1.01,4.74,2,0,4.81,9.4,20.04,18.02,9.08,7.41,4.12,4.66,1.06,4.71,7.82,4.97,11.59,4.02,15.12,13.22,1.01,4.7
"ENSG00000196911",102,187,11,37,5,15,25,27,198,301,12,66,24,103,109,87,27,37,33,33,117,154,16,40
"ENSG00000128789",288.01,468.7,236.98,838.91,84,270.96,444.52,439.49,574.19,829.8,160,1393,326,637.42,678.39,840.21,279.34,636.04,833.52,622,461.75,668.2,297.28,814.32
"ENSG00000184160",0,0,0,2,0,1,3,1,0,1,3,3,0,1,2,2,1,3,6,1,0,1,1,1
"ENSG00000077585",74,59,9,51,16,25,31,35,111,90,5,87,29,78,88,68,22,61,36,27,79,52,15,52
"ENSG00000151093",69,162,75.19,221,52,164,211,223,233,335,75,415,138,405.54,412,288,110,359,266,251.73,173,207,122,217
"ENSG00000227917",2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000231808",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000132300",516.06,648.68,235.87,813.39,134.37,464.57,485.53,622.82,950.67,1388.24,256.2,1201.65,417.66,947.46,931.27,870.81,381.24,828.68,692.11,676.88,622.14,790.94,334.7,747.08
"ENSG00000166598",4175.17,6650.75,5698.99,9639.62,828.8,2730.99,4790.63,3490.59,7289.14,9791.07,3666.54,9702.94,2250.01,5299.92,9256.29,5852.91,1746.02,4018,5664.12,3529.96,6000.37,7349.57,6131,6819.71
"ENSG00000163319",1011.45,1521.23,545.23,1350.89,189.77,535.77,850.77,839.14,1652.3,2116.15,552.68,2258.28,631.03,1622.65,1537.99,1427.05,713.7,991.36,1315.79,1181.49,1345.32,1462.37,793.36,1435.54
"ENSG00000269755",6.84,2.7,0,4.8,0,0,5.08,2.33,12.09,10.51,7.22,14.88,2.8,2.84,4.26,4.92,4.54,3.78,6.6,9.31,5.95,2.27,0,1.3
"ENSG00000128609",1959.99,2765.35,176.74,680.13,104.54,368.9,439,453.85,3836.15,4784.61,150.16,1518.43,333.11,1187.87,1494.47,1015.25,274.24,630.18,620.3,699.77,3053.93,2958.32,284.47,700.15
"ENSG00000100678",5,8,2,25,10,16,7,32,10,18,4,31,21,22,21,21,12,16,10,26,6,18,6,10
"ENSG00000172346",1,3,6,3,1,0,2.22,2.3,4.34,1,1.25,3.54,1,8.55,1,0,5,0,4,0,0,0,2,3
"ENSG00000105672",18,24,13,86,11,24,51,50,37,30,15,208,40,51,49,81,42,38,75,55,27,22,18,174
"ENSG00000222014",0,3.03,0,0,0,0,0,0,4.47,1.3,0,1.75,0,5.11,0,0,0,0,0,0,0,0,0,0
"ENSG00000242852",64.84,51.83,12.99,114.88,0,47.62,50.85,66.8,160.68,215.78,0,109.95,58.92,129.97,123.85,93.17,21.58,84.86,37.9,80.17,119.94,84.44,11.36,90.45
"ENSG00000160714",77,107,58,186,41,114,128,164,124,201,42,299,135,297,192,205,114,174,118,147,91,110,88,176
"ENSG00000170476",8.07,6.39,0.73,3,1,0,3.55,0,8.07,12.36,5.36,7.2,4.9,5.13,12.31,3.71,3.09,0,4.23,1,3.56,4.32,1.49,6.33
"ENSG00000135924",42,75,150,477,51,154,230,208,60,119,127,439,171,256,181,271,145,145,259,226,64,63,135,339
"ENSG00000106511",1,1,0,0,0,0,1,0,1,1,0,0,0,0,7,0,0,0,0,0,1,2,0,1
"ENSG00000196826",60.7,75.31,42.37,0,17.29,0,11.8,14.29,94.59,60.09,47.91,39.96,0,0,0.4,19.26,30.69,0,35.06,2.35,56.92,67.48,45.08,0.14
"ENSG00000092964",3068.35,4010,626,4221,595,3516,1696,2974,4542,6585.98,340,7275,2519,6219,3914,3685,2151,4538,2700,3691,3140,4246,492,4870
"ENSG00000163762",24,32,20,84,7,26,58,36,78.65,99.81,10,119,22,27.72,127,37,18,64,69,27,46,49,35,75
"ENSG00000198932",110.98,207.96,66.64,240.51,46,198,68.98,248,294.5,439.98,24,373.08,160.39,534.66,222.99,350.47,102.99,283.52,114.99,253.01,188.9,242.53,41,193.53
"ENSG00000100417",329,450,441,2516,267,921,1186.78,1720.7,716.66,890,429.75,3673.46,1061,1077.45,1029,1535,1232,1325,1594,1703,456,578,564,2586
"ENSG00000171724",24,45,12,71,12,38,14,36,30,57,9,69,20,145,55,67,21,50,19,22,24,30,10,33
"ENSG00000214960",3.52,4.08,1,2.95,2,1,3.32,4.09,8.92,26.23,0,8,1,4.13,5.04,3,3,1,3.02,1,2,12.9,1,1
"ENSG00000175221",8,25,59,132,10,24,49,39,13,37,37,91,44,43,47,61,40,19,50,45,9,20,41,95
"ENSG00000169087",31.84,60.17,31.03,79.01,8,38,63.62,41.55,101.92,166.45,31.61,143.71,28,85,108,125.37,25.41,67,55.1,62.06,61.97,83,45,67.01
"ENSG00000196604",0,0,3.82,0,0,0,1.4,0,0,4.11,1.57,0,0,1.13,3.04,0,1.8,0,0,0,0,0.14,3.16,1.55
"ENSG00000257084",44,80,25,168,41,106,194,336,105,99,30,295,161,207,169,310,160,215,214,269,69,79,41,194
"ENSG00000146083",17,14,20,25,2,9,23,13,17,55,9,26,12,26,49,23,9,7,27,14,20,24,21,28
"ENSG00000086619",2328.44,2164.78,77.45,940.81,110.84,285.45,150.68,427.22,3794.27,4081.61,102.08,1508.41,283.21,1305.84,1114.4,1575.85,175.56,509.8,196.2,572.01,3375.67,2131.98,87.81,560.02
