"","baseline-03182015_S2","baseline-03272015_S8","baseline-05202015-Islet-15_S1","baseline-05222015-Islet-16_S6","baseline-09032015_S2","baseline-09102015_S7","baseline-10012015_S12","baseline-10292015_S17","Single-cell-bulk-03182015_S4","Single-cell-bulk-03272015_S10","Single-cell-bulk-05202015_S3","Single-cell-bulk-05222015_S8","Single-cell-bulk-c1-09032015_S5","Single-cell-bulk-c1-09102015_S10","Single-cell-bulk-c1-10012015_S15","Single-cell-bulk-c1-10292015_S20","undissociated-c1-ctrl-09032015_S3","undissociated-c1-ctrl-09102015_S8","undissociated-c1-ctrl-10012015_S13","undissociated-c1-ctrl-10292015_S18","Untreated-Ctrl-03182015_S3","Untreated-Ctrl-03272015_S9","Untreated-Ctrl-05202015_S2","Untreated-Ctrl-05222015_S7"
"ENSG00000228223",142.83,86.54,32.06,92.77,17.22,26.58,65.21,78.38,146.14,177.27,53.01,113.31,50.13,75.15,72.56,110.21,38.34,25.47,69.2,62.94,102.01,101.1,58.25,83.17
"ENSG00000146143",37,41.38,14.01,24,1,13,14.17,11.01,64.04,109.95,8,47.68,10.1,37.66,73.07,35.24,13.14,20,17.67,18.12,41.17,52.89,26.9,22.1
"ENSG00000101017",114.68,256.31,295,959.01,110,347,958.72,744,257.13,527.2,255.03,962.86,362,344.01,461.96,466.58,572.03,476.01,940.01,506.82,170,352.66,345.28,887.03
"ENSG00000249917",0,0,1.91,0,0,0,0,1.01,2,7.01,0,1,1.59,2.03,4,3,2,1.02,1,1.04,0,0,1.96,0
"ENSG00000230676",0,0,0,2,0,1,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,1,0,2
"ENSG00000258942",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000146872",104.19,142.89,35.07,169.65,27.28,84.5,88.27,109.05,170.4,221.09,24.33,220.29,66.75,217.19,164.77,129.75,76.47,135.93,130.63,104.38,101.39,134.14,69.73,117.35
"ENSG00000084073",355.59,538.41,292.53,466.22,60.2,163.59,272.5,202.56,762.45,1181.45,239,687.23,186.16,465.7,714.14,435.92,163.14,326.99,412.76,284.04,557.62,632.95,375.07,405.45
"ENSG00000269099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254402",0.6,0,0,1.1,0,1.25,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0
"ENSG00000258808",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000112078",275.73,280.6,127.28,350.89,70.33,155.29,381.01,287.42,296.81,503.15,165.94,493.62,197.13,432.32,435.18,383.35,219.13,260.47,348.47,263.63,269.77,314.69,189.21,328.66
"ENSG00000151846",144.83,126.19,3.05,6.67,0,3.12,1.03,2.1,109.42,147.4,0,8.28,0,2.33,7.25,14.15,0,0,2.04,1.27,132.68,124.96,8.9,4.05
"ENSG00000104918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226355",46.36,67.14,77.99,135.02,23.44,32.23,88.42,41.79,59.37,87.59,208.84,148.62,77.58,45.19,42.61,37.37,99.49,24.95,79.56,31.06,57.59,48.83,108.09,156.03
"ENSG00000259579",0,1,0,1,0,0,3,1,1,5,0,4,0,0,7,2,2,0,4,1,0,0,0,3
"ENSG00000228397",1,4,0,5.05,0,3,1,1.99,3.85,3,0,8,0,0,6,4.92,3,1,4,1,1,1,0,4
"ENSG00000196152",5,6,24,46,6,19,28,47,14,35,20,68,21,46,30,64,27,22,34,32,9,8,12,36
"ENSG00000258537",0,1,0,0,0,0,0,0,1,4,0,3,0,0,1,0,0,0,0,0,1,0,0,0
"ENSG00000254813",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"ENSG00000218510",204,226,31,266,21,176,61,53,327,267,46,494,118,312,98,46,147,348,90,42,260,218,44,271
"ENSG00000233387",0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000223883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237096",1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"ENSG00000261334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000232386",820.72,571.25,273.93,511.5,80.37,148.26,415.52,291.03,629.85,913.8,605.34,581.01,287.95,320.27,237.08,318.59,328.45,175.21,407.61,247.57,622.07,618.97,359.41,464.55
"ENSG00000235446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
